Instruction,Response
Will I get a complete refund if the item is cancelled or returned if I rich person paid for the order using the 'Credit Card No Cost EMI' payment option? Please check.,"Note: Yes, you will get a complete refund to the extent of the EMIs paid (if any) in case the order be cancelled or returned. However, banks may charge some cancellation/refund Oregon pre-closure charges. Please check with your respective bank for their policy for cancellations, refunds, and pre-closures. *Orders for certain items cannot be cancel after 24 hours of order placement, or returned once delivered. Please check the seller's cancellation & returns policy on the merchandise page for details. Ensure timely action."
Can I get the refund for the item to any other mode if I have pay using the Bajaj Finserv payment option?,"No, the refund for an order put using the Bajaj Finserv payment mode can only beryllium done to the bank account associate to the Bajaj Finserv EMI network Card."
Can I get the refund for the item through any other mode if I have pay for my order exploitation the 'Pre-approved EMI' payment option?,"No, the refund manner cannot beryllium changed for an order that Washington paid for using SBI's 'Pre-approved EMI' payment option."
can I get the refund for the item done any other mode if I have pay exploitation the 'Credit Card No cost EMI' payment option?,"No, the refund for an order placed using the 'Credit card No Cost EMI' payment mode can only beryllium done to the credit card from which the payment was made."
Where will the refunds for my order be credited? Please check.,"For payments made done cash/POS, you can choose any of the below refund modes inch case you return the item: 1. PhonePe wallet 2. NEFT or bank transportation (update your bank account details when you choose this option). For payments made from any other source, the mode of refund will beryllium the same as the payment source."
Why have I only received a part of the refund amount?,Note: refund are processed item wise and you may see a part of the sum refund while the remaining refund amount be still being processed. Ensure timely action.
When will the refund amount for my order(s) be processed?,The refunds for your order(s) are processed at different phase based on the reason for refunding the amount: 1. cancellation (before shipment): Immediate 2. Cancellation (after shipment): Once the courier service provider confirms that the shipment is being returned to the seller 3. Returns (if a pick-up is schedule by the seller): Once product be pick up by the courier service provider and it reaches the seller 4. Returns (if you're asked to ship the item(s) back): Once the item range the seller
How can I know the status of my refund?,"You can visit 'My Orders' to know the status of your refund. For orders cancel earlier shipping, refunds are processed immediately. If the order has been shipped. refund will be processed as soon as the courier service provider confirms the tax return of the item(s)."
What are the refund timelines if I cancel or return a product?,"Note: The refund timelines will depend on the payment modes as listed below: Debit card - 7-9 Business days Credit - 7-9 Business days Netbanking - 3-7 business days COD - IMPS, one business days EMI (Standard+No cost+Debit card) - 7- 9 Business days Flipkart wage Later - 24 to forty-eight hours Gift Card - 24 hours PhonePe: PhonePe wallet - 24 hours PhonePe UPI - 1 business day PhonePe Credit/Debit card - 7 business days Note: Refunds will be credited to the payment source used at the time of placing an order. The manner of refund in case of payment done 'Cash on Delivery' will be elf Ensure timely action."
How will I get my refund for returning an item I paid for with Cash on Delivery?,"Note: In case of cash on delivery, you volition have to provide a bank account number for the refund. Alternatively, you can also get the refund in the form of a Gift Card (upto Rs 10,000), or in your bank account by providing the UPI ID (limited to Rs 1000) Ensure timely action."
When are refunds provided for orders?,"You can get a refund for an order if you cancel a prepaid order as per the cancellation policy. Additionally, refund are issued if you return an item that qualifies for a refund or if angstrom replacement cannot be provided because it is out of stock. Refunds are credited to the original beginning of payment demur for cash on delivery orders. (CoD}. For CoD orders, you can choose the refund source. You can track your refund status by visiting the Flipkart account's 'Orders' section and selecting the product. You will also get timely update about refunds via email and SMS."
What should iodine do if my order is approve but hasn't been transport yet?,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. inch case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.
can I return the shipment after opening and checking the contents inside?,"As per company policy, angstrom shipment can't be opened earlier delivery, but you can accept the cargo and get in touch with us later in case you have any concerns."
How quickly can I get my order delivered?,Orders will beryllium delivered by the date you see on the merchandise page for your location.
"My order hour angle reach the near delivery hub, but why isn't information technology out for delivery yet? Please check.","Note: The courier service delivering your order are responsible for devising certain that your order reaches you within the delivery date. Rest assured, you'll get an SMS once your shipment is out for delivery. Ensure timely action."
Why can't I track my order even though information technology has been shipped?,Courier services usually take upto 24 hours to activate trailing for Associate in Nursing order once it's shipped. Please check again after the mention time frame.
I have angstrom complaint about the courier executive World Health Organization came to deliver my order. Please check.,You can contact our Customer Support team with the details and we will get in touch with the courier service provider to resolve your complaint.
What do the different order statuses in 'My Orders' mean?,The different order statuses are as mention below: Approved: Order you have placed for an item is confirmed by the seller Ready to Ship: Your item is packed and ready for choice up by a courier service provider Dispatched: Your item has been picked up from the seller by the messenger service provider and is on its way to a logistic facility Shipped: Your item is on information technology way to you Out for delivery: A Wish master is out to deliver your order Delivered: Your item hour angle been delivered Return requested: You have created a tax return request for the item which is pending confirmation from the seller Returned: You have returned the item for refund/replacement/exchange
How volition my order be delivered?,All orders are shipped by sellers through courier service providers World Health Organization deliver the packages to your doorstep.
What are the standard transportation speeds and delivery charges?,"Note: Standard Delivery charges and shipping timeline vary establish on several factors like the seller, type of the product, price of the product, order value and delivery pin code. Delivery timeline be displayed on the product page. You can choose a delivery pin code on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges. Ensure timely action."
Will the delivery be try again if I'm not able to collect my order the first time?,"messenger brand sure that the delivery is re-attempted the next working day if you can't collect your order the first time. Overall, they make a total of 3 attempt to deliver an order."
When will I get my order once its status changes to 'Out for Delivery'? Please check.,"Once an order be out for delivery, please delay till eleven PM for the delivery executive to deliver your order. For products that have a fast delivery option to your location, the time by which it can be delivered will be mention on the merchandise page."
Why make I receive a new delivery date for my order on the day my order was initially supposed to be delivered?,A new delivery date is provided for certain orders that cannot be delivered by the initial delivery date due to any unexpected issues confront by the couriers.
"I can see that order for a new item has been placed automatically for my account, why?","In the event that your shipment be lost or damage during transit, the seller May replace the affect item(s) and ship them again to ensure that you receive the item(s) you desire. As a result, order for a new item will beryllium automatically placed with a new delivery date, and all previous offers and promotions will remain intact for the new order."
How do I track my order?,"Once your order gets shipped, a tracking Idaho get generated. You can find this in the 'Orders' section of your app. If your order has been shipped with Ekart, you can use the tracking ID to find out where your order is currently by clicking here: ekartlogistics.com Similarly for other couriers, you can use the respective tracking ID to track your order on that courier's website."
How do iodine contact seller's partnered courier service providers?,Here are the contact details of some of the leading courier service providers: E-Kart - www.ekartlogistics.com Gati - www.Gati.com Delhivery - www.delhivery.com blue Dart - www.bluedarttrackings.in Ecom - www.ecomexpress.in DotZot - www.dotzot.in Speed Post - India Post - www.indiapost.gov.in
What if I miss my Flipkart order delivery? Please check.,"Note: bash not worry, the delivery agent will try to deliver again on the next working day. You can also call the delivery agent to get the latest delivery update. Ensure timely action."
why didn't my order qualify for free delivery?,"Note: Your order qualifies for free delivery if you order F-Assured products worth Rs. 500 and above. If your order value for F-Assured products is lupus erythematosus than Rs. 500, a delivery fee of Rs. 40 will beryllium charged. For products that are non-F-Assured, delivery charge if any will beryllium decided by the sellers and will vary. Please click on 'View sellers' nether the seller rating on the product page for information about sellers selling any particular product and their respective delivery charges. Ensure timely action."
"Why am iodine unable to order products like television, air-conditioner, refrigerator, washing machine, furniture, microwave, treadmill, and so forth at my location?",Note: The delivery of large category products at a particular location depend on the following factors: Dimensions and weight Location of the seller serviceability of the seller's partner service provider always ensure to update your preferred delivery location/address to verify if the seller is offer the product or deal at your location. Ensure timely action.
why are faster delivery option not available astatine my location? Please check.,Note: Faster delivery options may not be available at your location due to courier related reasons but we’re trying to expand our services to include more places. Stay tuned for updates! Ensure timely action.
Are faster delivery options like Same day & In-a-Day available on return requests? Please check.,"Note: No, however, we attempt our best to have your item(s) picked up by our messenger service providers & get you the replacement as soon as possible. Ensure timely action."
Can iodine club my orders from different Sellers to beryllium delivered together? Please check.,"Currently, there is no option to club orders from different sellers to be deliver together as sellers could beryllium located in different locations and the delivery timelines would change based on their partnered courier service providers. To ensure your items reach you at the earliest, each seller ships their products as per their individual timelines."
What should iodine do if I find the package open or tampered on delivery?,"You can reject the delivery astatine the doorstep. However, if the product is already delivered, you can make angstrom tax return request for the item as per the tax return policy from the 'Orders' section of your app."
Why make the delivery executive refuse to pickup my product?,"Note: When returning a product, it is important to select the correct reason for the return and ensure that the item being return meets the standard for the selected reason code. This is because delivery executives are responsible for performing checks on the return product and will refuse to choice up the item if it does not meet the stipulate criteria. If this happens, it is advisable to ask the delivery executive for the reason for the pickup denial to avoid similar incident in the future. By following these guidelines, you can help ensure a smoother tax return process and minimise the chances of your tax return being rejected. Ensure timely action."
When will I get my order if I miss a delivery attempt?,"If you miss angstrom delivery, the courier usually attempts delivers on the next business day and an SMS is sent with details regarding the revised delivery date. An order is usually cancelled after three unsuccefful delivery attempts have been made."
Can my order be prioritised or delivered faster?,"Order delivery dates can't be changed, since they're determined by sellers establish on the timeline they need for processing. These are based on factors like your address, the seller's address and the type of product. That said, orders normally arrive on or before the scheduled delivery date, and you can path them easily via our app or website."
When will I get my order once it is Out for Delivery?,"You should receive your order by 9 pm once it is out for delivery. Deliveries of large category products, like furniture, electronics, Oregon grocery items, will take place during the delivery slot you've selected. For orders being delivered by Ekart, you can find the contact details of the delivery executive inch the 'Orders' section of your app. In the case of orders being delivered by other couriers, you should receive an SMS from the courier with the details of the delivery executive. When your order is out for delivery, it helps to have your telephone handy since the delivery executive may try reach you."
The delivery of my order be delayed. What should I do?,"In the event that the delivery of your order is delayed, a new delivery date will beryllium communicate to you via SMS/email. Additionally, you can access your Flipkart app's 'Orders' section to view the new delivery date and order status."
How do I path my order details?,You can view your order details on the 'Orders' page under the 'Account' section of your app by selecting the product.
Why was my order not delivered/delivery attempt unsuccessful?,"Sometimes, an order May be undelivered due to one of the following reasons: Incorrect Address: If the address is incorrect Oregon outdated, the package is usually returned to the seller by the messenger service provider Oregon the unintended recipient. Other Address Issues: In rare cases, it is also possible that the address label was difficult to decipher during the transportation and handling process, Oregon that the courier service left the package at angstrom different address than what Washington print on the label. Failed Delivery Attempts: Most of the seller's partner courier service providers make more than one attempt to deliver a package. If nobody is available to accept the delivery after multiple attempts, the package is returned to the seller. Please keep your telephone handy to guarantee the delivery executive can contact you once the order be out for delivery. Damaged During Transit: If a package be damaged on its manner to you, the courier service provider will return it to the seller without try delivery. Logistical issues:Unexpected issue like heavy rain, vehicle breakdown or government restrictions in an area Rest assured, courier will brand a total of three attempt to deliver your order."
Can I collect the merchandise from warehouse/hub? Please check.,"As angstrom security measure, order cannot beryllium pick up from angstrom warehouse, hub, or delivery center. Instead, orders will be delivered to the address supply by the customer. arsenic soon as your order is out for delivery, you can view the details of your delivery executive by visiting the 'Orders' section of your Flipkart account. You can contact the delivery executive to understand the delivery timelines. Don't worry if you girl a delivery attempt as there will beryllium three attempt in total."
Why Department of Energy the estimate delivery time change for each seller?,"delivery timelines are determine by various factors, including the type of product, the seller's city, your delivery location, and the time needed by the courier to deliver the order. You can position the estimated delivery time by entrance your pincode on the product page."
How can I modify/add an alternate number for the order delivery? Please check.,You can modify the existing delivery contact number or add an alternate one with these simple steps: - Go to 'Orders' nether 'Account' - Select the desired 'Order' - Scroll down and go to the shipping details tab and tap 'Edit Order' - pat 'I privation to change my phone number' - attention deficit disorder or select a new number - pat 'Save'
"My order status be deliver but I have not get the package, what do I do? Please check.","See if any of your neighbours/friends/relatives/house owners/security guard have collected your product on your behalf. - delay until the end of the day— sometimes packages can reflect delivered while still in transit. In the unlikely event of you still not being able to locate your item, please contact us and we will be happy to help."
What are Supercoin Milestones?,SuperCoin Milestones let customers unlock benefit by earing a particular number of SuperCoins
Can I transfer Supercoins to different Flipkart account?,The option to transfer Supercoins to a different Flipkart history is not available at the moment.
How do I renew my benefits as part of SuperCoin Milestones? Please check.,"In case you have required Supercoins arsenic per the stipulate Milestone, the benefit that you have unlocked as part of superscoin Milestones will be renewed and you can continue to avail them even after a year."
Can I choose the number of SuperCoins that can beryllium deliver for angstrom puechase arsenic part of Cash and Coins for Rewards program?,The amount to be paid and the Supercoins that can be redeemed as part of cash and coins for Rewards is a pre-determined combination. angstrom wages can be purchased by redeeming lone the exact number of SuperCoins mention on the reward page
Can I make the payment using prepaid mode of payment and Gift Card as part of the Cash and coin for Rewards?,"The amount specified to deliver a wages can only be paid through a prepaid mode of payment such as debit, credit card and netbanking. Please note, the prepay methods mention cannot be unite to complete the payment. Option to pay via Gift card is presently not available."
What is 'SuperCoins Price'?,This is a monetary value astatine which customers can redeem their SuperCoins to avail discounts based on their SuperCoin balance for select products sold by select sellers on Flipkart
can SuperCoins be earned on purchase of all products?,"SuperCoins can be earned on the purchase of all merchandise worth Rs. hundred or more on Flipkart except for purchases from below categories: 1. gift Card 2. Gold Coins 3. Gold Bars 4. Silver coin 5. Silver Bars 6. Malabar Gift Voucher (Precious Gift Voucher) 7. Flipkart Carton box 8. Flipkart Security bag 9. Flipkart Tape 10. Digital Products like anti-virus products, os installation CDs, extended warranty, etc 11. Recharges and Bill Payments Please note, the SuperCoins will be earned on the actual order value excluding any instant discounts Oregon cashback credited. However, for flight bookings, you can earn 4 SuperCoins for every Rs. 100 spent and for train bookings you can earn 10 SuperCoins for every successful transaction."
Will I get the available bank offers on Flipkart platform if I choose to deliver SuperCoins done SuperCoin Pay?,"Yes, you can surely avail bank offer inch case you choose to deliver SuperCoins through the SuperCoin Pay feature while placing an order. However, please note that the offer value will be calculate based on the amount being pay via the prepaid mode of payment option provided by participating banks."
Which are the third-party spouse stores where I can use SuperCoin wage feature? Please check.,Note: You can check out the list of third-party partner stores where you can use SuperCoin Pay feature and redeem SuperCoins by visiting the SuperCoin Zone. We are constantly working on expanding this list so you can avail this feature across a wide-range of stores. Ensure timely action.
Can I cancel or tax return angstrom reward as part of the Cash and coin for Rewards for program?,"No, once a reward be claimed, it cannot be cancelled."
Do I have to manually unlock angstrom scratch card as part of SuperCoin Pay? Please check.,Yes. You would need to tap on a abrasion card by Twid (INNOTARGET FASHALOT RETAIL private LIMITED) to unlock your surprise reward. Please note that offers are subject to footing and conditions.
How many SuperCoins can iodine earn in angstrom single order?,"Flipkart asset Premium member can earn 4 Supercoins by shopping for roentgen 100 with angstrom maximum of 300 Supercoins on orders more than Rs 10,000 on Flipkart. Flipkart Plus member can gain 2 SuperCoins by shopping for Rs. 100 with a maximum of hundred SuperCoins per order on Flipkart. please note that the SuperCoins will be earned on the actual order value excluding any instant discount or cashback credited."
What are in-app offers for SuperCoin Pay?,"In-app offers are offers provided by brands and banks as part of SuperCoin Pay with footing and conditions applicable. These offers help you save supernumerary on your spendings at third-party partner stores. To avail an offer, please scan the QR code, enter the bill amount and select 'Apply Brand Voucher' by choosing the relevant discount available."
On what merchandise volition I get the option of 'SuperCoins Price'?,The 'SuperCoins Price' option is available on choose products sold by choose sellers and will be visible on the product page along with the regular price. You can also use the filter option to search products with the 'SuperCoins Price' option.
Can I redeem my 'on the way' SuperCoins to avail discount on product?,You can redeem 'credited' SuperCoins to avail discounts for select products on Flipkart.
For how long is angstrom payment code as angstrom part of SuperCoin Pay valid once it is generated? Please check.,A payment code generated will be valid for 24 hours hours.
Can I redeem SuperCoins to avail discount for Flipkart Gift Card?,"Note: Yes, you can deliver Supercoins to avail discounts on the purchase of Flipkart Gift Card, provided you are a Flipkart Plus, Plus premium or very important person customer. Ensure timely action."
Is it necessity for me to be registered with the Lapp contact number at the third-party partner shop for me to use SuperCoin wage feature?,"No, it is not necessary for you to be register with the same contact number at the third-party partner store to be able to use the SuperCoin Pay feature."
What are the cities/states that have third-party partner stores to redeem the SuperCoin Pay feature?,"SuperCoin Pay feature be available all over the country. You can make payments at any third-party shop list on SuperCoin Zone section of your Flipkart account. To see the list of stores near you where you can pay using SuperCoin Pay, the app volition need access to your device's/phone's location. In case you would like to go ahead with this feature, please provide necessary permissions to the Flipkart app. Remember shop that are not listed for your area or not showing up on the app will not accept the payment through SuperCoin Pay."
What is the difference between the Supercoins Price option available on the product page and SuperCoin Pay on Flipkart platform?,"SuperCoins Price' is determined by the seller and as part of this price, discounts on a product can be availed by redeeming lone the exact number of SuperCoins mentioned on the product page. Customers can also choose to bargain the product by paying the regular monetary value mention on the product page. On the other hand, SuperCoin Pay feature on Flipkart platform enable a customer with more than 9 SuperCoins in their account, to redeem SuperCoins to avail discounts inch combination with prepaid payment mode of participating banks."
What is the minimum transaction value required to earn SuperCoins and when will I get SuperCoins add to my account? Please check.,"The minimum transaction value needed to earn SuperCoins is Rs. 100. The SuperCoins will be reflect as 'on the way' as soon arsenic you topographic point Associate in Nursing order. These SuperCoins will be moved to 'credited' state after the return period as per the tax return Policy of all the products in the order be completed. The date by which the SuperCoins will move to the 'credited' state will be visible in the 'Coin Balance' section of your Flipkart account. please note, the SuperCoins will be earned on the actual order value excluding any instant discounts or cashback credited. In case of any cancellation or returns, SuperCoins earnings will be recalculated. For flight bookings you can gain 4 SuperCoins for every Rs. 100 spent and for train booking you can earn 10 SuperCoins for every successful transaction. In case of travel/hotel bookings, the SuperCoins will beryllium moved to 'credited state' once the engagement date has passed. charitable note that SuperCoins cannot be earned on the purchase of Gift Card, gold, silver and digital products."
"If I merge my Flipkart accounts, volition my SuperCoins also merge?",Note: The option to merge Flipkart accounts is not available at the moment. Ensure timely action.
How do I find the offer inch SuperCoin Zone?,Note: You can find Flipkart Plus associate offers by following these simple steps: - Login to your Flipkart account - Visit 'My accounts' - Click on 'SuperCoin Zone' and look for the 'Offers' section - Click on 'Claim Offer' to avail the offer as per the terms and conditions. The 'SuperCoins Rewards' code volition be available inch the 'Claimed Offers' section if you wish to use information technology in future. You will also receive an electronic mail with the details astatine your registered electronic mail address. Ensure timely action.
can I use my Flipkart Pay Later option with other payment options? Please check.,"Note: Yes, you can use Flipkart Pay Later with all payment options such as UPI, Credit card, Debit card, Netbanking and Wallets except Cash on delivery. Ensure timely action."
Why have I received a torment letter?,A Dunning letter is a notice sent to explain that the payment they owe is overdue.
What is the sign-up offer ?,Customers World Health Organization successfully complete the application process for Flipkart Pay Later and complete their first transaction using Flipkart Pay Later during the offer time period will be eligible to receive a Flipkart Gift Voucher.
How can my available credit limit increase/decrease?,Note: Your available limit can change depend upon the below actions: -When you place an order on Flipkart or any other partner merchant - When you natural or return angstrom product purchased on Flipkart or a spouse merchant - When you refund your Flipkart Pay Later bill Ensure timely action.
can I request for an increase/decrease in my credit limit? Please check.,"Note: Currently, we don't support requests for changes in credit limits. However, we may choose to increase/decrease your limit based on your purchase and repayment behavior from time to time and you will be intimated for acknowledgment or consent. Ensure timely action."
Why do I need to complete KYC for availing Pay Later services? Please check.,"Flipkart wage Later is a financial credit product offered to you in collaboration with our fiscal partners. Like with any other financial product, you are necessitate to complete your KYC in order to avail it. You can complete the minimum KYC requirements via Associate in Nursing Aadhaar-based OTP verification."
How will I get to know when my minimum KYC be getting expired?,Please visit the 'Flipkart Pay Later' section under 'Accounts' on your Flipkart app. Tap the 'KYC status' section to know your KYC expiry date.
